id,Suburb,Street,Start House Number,End House Number,General Waste Day,Recycle / Green Waste Day
3367,CARINDALE,TRAFALGAR PL,1,16,Every WEDNESDAY,Every Alternative WEDNESDAY
3368,CARINDALE,TRISTAN ST,1,67,Every TUESDAY,Every Alternative TUESDAY
3369,CARINDALE,TROON PL,2,19,Every WEDNESDAY,Every Alternative WEDNESDAY
3370,CARINDALE,TURNBERRY PL,1,24,Every WEDNESDAY,Every Alternative WEDNESDAY
3371,CARINDALE,TURUBUL CRES,1,27,Every WEDNESDAY,Every Alternative WEDNESDAY
3372,CARINDALE,URQUHART ST,1,28,Every WEDNESDAY,Every Alternative WEDNESDAY
3373,CARINDALE,UTHER ST,2,28,Every TUESDAY,Every Alternative TUESDAY
3374,CARINDALE,VORTIGERN ST,2,30,Every TUESDAY,Every Alternative TUESDAY
3375,CARINDALE,WALMER CT,3,8,Every TUESDAY,Every Alternative TUESDAY
3376,CARINDALE,WAVERNEY CT,1,9,Every WEDNESDAY,Every Alternative WEDNESDAY
3377,CARINDALE,WECKER RD,286,376,Every WEDNESDAY,Every Alternative WEDNESDAY
3378,CARINDALE,WEEKES RD,1,478,Every WEDNESDAY,Every Alternative WEDNESDAY
3379,CARINDALE,WENTWORTH PL,1,14,Every WEDNESDAY,Every Alternative WEDNESDAY
3380,CARINDALE,WESTBURY PL,3,48,Every WEDNESDAY,Every Alternative WEDNESDAY
3381,CARINDALE,WHITECASTLE ST,3,21,Every TUESDAY,Every Alternative TUESDAY
3382,CARINDALE,WILLOW PL,2,32,Every WEDNESDAY,Every Alternative WEDNESDAY
3383,CARINDALE,WINCHCOMBE CT,1,7,Every WEDNESDAY,Every Alternative WEDNESDAY
3384,CARINDALE,WINDERMERE CRES,2,34,Every WEDNESDAY,Every Alternative WEDNESDAY
3385,CARINDALE,WINDSOR PL,3,78,Every WEDNESDAY,Every Alternative WEDNESDAY
3386,CARINDALE,WINSTANLEY ST,261,432,Every WEDNESDAY,Every Alternative WEDNESDAY
3387,CARINDALE,WOODLAND ST,2,67,Every WEDNESDAY,Every Alternative WEDNESDAY
3388,CARINDALE,WRIGHT ST,4,186,Every TUESDAY,Every Alternative TUESDAY
3389,CARINDALE,YEATES CL,1,8,Every WEDNESDAY,Every Alternative WEDNESDAY
3390,CARSELDINE,ACCOLADE PL,2,29,Every FRIDAY,Every Alternative FRIDAY
3391,CARSELDINE,ALLIRA CRES,2,62,Every FRIDAY,Every Alternative FRIDAY
3392,CARSELDINE,APERITIF PL,6,16,Every FRIDAY,Every Alternative FRIDAY
3393,CARSELDINE,ARAPALA CT,2,6,Every FRIDAY,Every Alternative FRIDAY
3394,CARSELDINE,ARROWFIELD CT,1,6,Every FRIDAY,Every Alternative FRIDAY
3395,CARSELDINE,ASTI PL,1,6,Every FRIDAY,Every Alternative FRIDAY
3396,CARSELDINE,AZAHAR ST,1,25,Every FRIDAY,Every Alternative FRIDAY
3397,CARSELDINE,BALCARA AVE,2,83,Every FRIDAY,Every Alternative FRIDAY
3398,CARSELDINE,BANGALORE ST,1,17,Every FRIDAY,Every Alternative FRIDAY
3399,CARSELDINE,BEAMS RD,494,778,Every FRIDAY,Every Alternative FRIDAY
3400,CARSELDINE,BELLARA ST,3,23,Every FRIDAY,Every Alternative FRIDAY
3401,CARSELDINE,BENSARA PL,2,15,Every FRIDAY,Every Alternative FRIDAY
3402,CARSELDINE,BINARA CT,1,18,Every FRIDAY,Every Alternative FRIDAY
3403,CARSELDINE,BOTTICELLI CL,1,11,Every FRIDAY,Every Alternative FRIDAY
3404,CARSELDINE,BOWDEN ST,3,30,Every FRIDAY,Every Alternative FRIDAY
3405,CARSELDINE,BOXWOOD PL,3,27,Every FRIDAY,Every Alternative FRIDAY
3406,CARSELDINE,BURGUNDY ST,1,23,Every FRIDAY,Every Alternative FRIDAY
3407,CARSELDINE,CABERNET ST,3,21,Every FRIDAY,Every Alternative FRIDAY
3408,CARSELDINE,CADBURY ST,1,8,Every FRIDAY,Every Alternative FRIDAY
3409,CARSELDINE,CANADEL ST,3,21,Every FRIDAY,Every Alternative FRIDAY
3410,CARSELDINE,CAWARRA ST,1,25,Every FRIDAY,Every Alternative FRIDAY
3411,CARSELDINE,CHABLIS PL,3,6,Every FRIDAY,Every Alternative FRIDAY
3412,CARSELDINE,CHAMPAGNE ST,4,22,Every FRIDAY,Every Alternative FRIDAY
3413,CARSELDINE,CHARDONNAY CT,3,6,Every FRIDAY,Every Alternative FRIDAY
3414,CARSELDINE,CHATEAU ST,1,36,Every FRIDAY,Every Alternative FRIDAY
3415,CARSELDINE,CHEDDAR CT,1,6,Every FRIDAY,Every Alternative FRIDAY
3416,CARSELDINE,CIDER ST,3,4,Every FRIDAY,Every Alternative FRIDAY
3417,CARSELDINE,CLARET ST,3,33,Every FRIDAY,Every Alternative FRIDAY
3418,CARSELDINE,COLVILLEA CL,1,11,Every FRIDAY,Every Alternative FRIDAY
3419,CARSELDINE,COONAWARRA DR,3,28,Every FRIDAY,Every Alternative FRIDAY
3420,CARSELDINE,COOPER PL,3,18,Every FRIDAY,Every Alternative FRIDAY
3421,CARSELDINE,CORDOBA CT,3,8,Every FRIDAY,Every Alternative FRIDAY
3422,CARSELDINE,COUNTRY CLUB CL,1,16,Every FRIDAY,Every Alternative FRIDAY
3423,CARSELDINE,COWIE RD,1,128,Every FRIDAY,Every Alternative FRIDAY
3424,CARSELDINE,CROWCOMBE PL,6,25,Every FRIDAY,Every Alternative FRIDAY
3425,CARSELDINE,CYPERUS CRES,3,51,Every FRIDAY,Every Alternative FRIDAY
3426,CARSELDINE,DALWOOD ST,1,22,Every FRIDAY,Every Alternative FRIDAY
3427,CARSELDINE,DANNENBERG ST,2,107,Every FRIDAY,Every Alternative FRIDAY
3428,CARSELDINE,DARLINGTON CL,3,20,Every FRIDAY,Every Alternative FRIDAY
3429,CARSELDINE,DE LUCHI ST,2,30,Every FRIDAY,Every Alternative FRIDAY
3430,CARSELDINE,DENVER RD,1,82,Every FRIDAY,Every Alternative FRIDAY
3431,CARSELDINE,DORVILLE RD,54,221,Every FRIDAY,Every Alternative FRIDAY
3432,CARSELDINE,ELLIOT ST,3,62,Every FRIDAY,Every Alternative FRIDAY
3433,CARSELDINE,FARNDON PL,3,31,Every FRIDAY,Every Alternative FRIDAY
3434,CARSELDINE,FELICITY CT,1,17,Every FRIDAY,Every Alternative FRIDAY
3435,CARSELDINE,FRANCESCA CL,2,7,Every FRIDAY,Every Alternative FRIDAY
3436,CARSELDINE,FRONTIGNAC ST,1,9,Every FRIDAY,Every Alternative FRIDAY
3437,CARSELDINE,GRAHAM RD,8,155,Every FRIDAY,Every Alternative FRIDAY
3438,CARSELDINE,GRANGE AVE,1,31,Every FRIDAY,Every Alternative FRIDAY
3439,CARSELDINE,GYMPIE RD,1526,1839,Every FRIDAY,Every Alternative FRIDAY
3440,CARSELDINE,HAWBRIDGE ST,2,77,Every FRIDAY,Every Alternative FRIDAY
3441,CARSELDINE,HICKORY ST,8,40,Every FRIDAY,Every Alternative FRIDAY
3442,CARSELDINE,HIGHBRIDGE CRCT,1,111,Every FRIDAY,Every Alternative FRIDAY
3443,CARSELDINE,IBIZA PL,2,25,Every FRIDAY,Every Alternative FRIDAY
3444,CARSELDINE,KAHLI PL,2,43,Every FRIDAY,Every Alternative FRIDAY
3445,CARSELDINE,KALARA CT,3,12,Every FRIDAY,Every Alternative FRIDAY
3446,CARSELDINE,KARRAWA CL,4,13,Every FRIDAY,Every Alternative FRIDAY
3447,CARSELDINE,KENTIA ST,1,37,Every FRIDAY,Every Alternative FRIDAY
3448,CARSELDINE,KULINDI PL,2,15,Every FRIDAY,Every Alternative FRIDAY
3449,CARSELDINE,LACEY RD,10,202,Every FRIDAY,Every Alternative FRIDAY
3450,CARSELDINE,LADBROKE CL,3,20,Every FRIDAY,Every Alternative FRIDAY
3451,CARSELDINE,LEBELLE PL,1,15,Every FRIDAY,Every Alternative FRIDAY
3452,CARSELDINE,LEXIA PL,1,9,Every FRIDAY,Every Alternative FRIDAY
3453,CARSELDINE,LILLYDALE ST,6,88,Every FRIDAY,Every Alternative FRIDAY
3454,CARSELDINE,LUCINDA ST,1,33,Every FRIDAY,Every Alternative FRIDAY
3455,CARSELDINE,MACARANGA CRES,1,88,Every FRIDAY,Every Alternative FRIDAY
3456,CARSELDINE,MACDONALD PL,2,40,Every FRIDAY,Every Alternative FRIDAY
3457,CARSELDINE,MAGNOLIA PL,1,34,Every FRIDAY,Every Alternative FRIDAY
3458,CARSELDINE,MALPARARA PL,2,10,Every FRIDAY,Every Alternative FRIDAY
3459,CARSELDINE,MARSALA ST,2,32,Every FRIDAY,Every Alternative FRIDAY
3460,CARSELDINE,MATISSE ST,2,29,Every FRIDAY,Every Alternative FRIDAY
3461,CARSELDINE,MATTHEW ST,6,38,Every FRIDAY,Every Alternative FRIDAY
3462,CARSELDINE,MCCALLUM ST,3,94,Every FRIDAY,Every Alternative FRIDAY
3463,CARSELDINE,MEDALLION PL,20,20,Every FRIDAY,Every Alternative FRIDAY
3464,CARSELDINE,MELICOPE PL,2,22,Every FRIDAY,Every Alternative FRIDAY
3465,CARSELDINE,MOSELLE PL,1,15,Every FRIDAY,Every Alternative FRIDAY
3466,CARSELDINE,MOYSTON ST,4,48,Every FRIDAY,Every Alternative FRIDAY
3467,CARSELDINE,MULKARRA PL,1,15,Every FRIDAY,Every Alternative FRIDAY
3468,CARSELDINE,MUSCAT PL,2,6,Every FRIDAY,Every Alternative FRIDAY
3469,CARSELDINE,NARDOO CL,4,15,Every FRIDAY,Every Alternative FRIDAY
3470,CARSELDINE,NEMIRA ST,1,95,Every FRIDAY,Every Alternative FRIDAY
3471,CARSELDINE,NIKITA CL,3,16,Every FRIDAY,Every Alternative FRIDAY
3472,CARSELDINE,NILKERIE ST,1,62,Every FRIDAY,Every Alternative FRIDAY
3473,CARSELDINE,NOELA CL,3,16,Every FRIDAY,Every Alternative FRIDAY
3474,CARSELDINE,PADOVA ST,1,7,Every FRIDAY,Every Alternative FRIDAY
3475,CARSELDINE,PAIRA PL,1,16,Every FRIDAY,Every Alternative FRIDAY
3476,CARSELDINE,PANDALA CT,3,11,Every FRIDAY,Every Alternative FRIDAY
3477,CARSELDINE,PICASSO CRES,3,63,Every FRIDAY,Every Alternative FRIDAY
3478,CARSELDINE,PITTA PL,11,39,Every FRIDAY,Every Alternative FRIDAY
3479,CARSELDINE,PRESIDENTS PL,3,30,Every FRIDAY,Every Alternative FRIDAY
3480,CARSELDINE,PRESSLAND ST,1,59,Every FRIDAY,Every Alternative FRIDAY
3481,CARSELDINE,PYRENEES ST,2,21,Every FRIDAY,Every Alternative FRIDAY
3482,CARSELDINE,QUANTUM ST,3,18,Every FRIDAY,Every Alternative FRIDAY
3483,CARSELDINE,RAY ST,1,41,Every FRIDAY,Every Alternative FRIDAY
3484,CARSELDINE,RAYNBIRD PL,29,61,Every FRIDAY,Every Alternative FRIDAY
3485,CARSELDINE,RIDLEY RD,31,31,Every FRIDAY,Every Alternative FRIDAY
3486,CARSELDINE,RIESLING ST,2,44,Every FRIDAY,Every Alternative FRIDAY
3487,CARSELDINE,ROGHAN RD,1668,1668,Every FRIDAY,Every Alternative FRIDAY
3488,CARSELDINE,ROSEMOUNT PL,4,26,Every FRIDAY,Every Alternative FRIDAY
3489,CARSELDINE,SALIM CT,1,12,Every FRIDAY,Every Alternative FRIDAY
3490,CARSELDINE,SALITO ST,2,30,Every FRIDAY,Every Alternative FRIDAY
3491,CARSELDINE,SAUTERNE ST,3,36,Every FRIDAY,Every Alternative FRIDAY
3492,CARSELDINE,SAUVIGNON ST,1,10,Every FRIDAY,Every Alternative FRIDAY
3493,CARSELDINE,SEDGEMOOR ST,3,29,Every FRIDAY,Every Alternative FRIDAY
3494,CARSELDINE,SHEPTON ST,3,6,Every FRIDAY,Every Alternative FRIDAY
3495,CARSELDINE,SHERRY ST,1,92,Every FRIDAY,Every Alternative FRIDAY
3496,CARSELDINE,SHIRAZ PL,3,4,Every FRIDAY,Every Alternative FRIDAY
3497,CARSELDINE,SINGLETON PL,4,46,Every FRIDAY,Every Alternative FRIDAY
3498,CARSELDINE,SOMERSET DR,1,51,Every FRIDAY,Every Alternative FRIDAY
3499,CARSELDINE,SPINA CRES,1,56,Every FRIDAY,Every Alternative FRIDAY
3500,CARSELDINE,STAY PL,16,36,Every FRIDAY,Every Alternative FRIDAY
3501,CARSELDINE,STELLA PL,1,30,Every FRIDAY,Every Alternative FRIDAY
3502,CARSELDINE,TARRILLI PL,2,12,Every FRIDAY,Every Alternative FRIDAY
3503,CARSELDINE,TAUNTON ST,3,42,Every FRIDAY,Every Alternative FRIDAY
3504,CARSELDINE,TINTARA ST,1,59,Every FRIDAY,Every Alternative FRIDAY
3505,CARSELDINE,TOKAY PL,3,6,Every FRIDAY,Every Alternative FRIDAY
3506,CARSELDINE,TREVISO ST,9,31,Every FRIDAY,Every Alternative FRIDAY
3507,CARSELDINE,TULLAMORE ST,1,5,Every FRIDAY,Every Alternative FRIDAY
3508,CARSELDINE,TYNEDALE PL,5,14,Every FRIDAY,Every Alternative FRIDAY
3509,CARSELDINE,VALYN PL,1,9,Every FRIDAY,Every Alternative FRIDAY
3510,CARSELDINE,VERMOUTH PL,3,7,Every FRIDAY,Every Alternative FRIDAY
3511,CARSELDINE,WALLUM CL,3,15,Every FRIDAY,Every Alternative FRIDAY
3512,CARSELDINE,WATERGUM ST,3,15,Every FRIDAY,Every Alternative FRIDAY
3513,CARSELDINE,WATERLILY CRCT,1,86,Every FRIDAY,Every Alternative FRIDAY
3514,CARSELDINE,WHITEHORSE ST,1,55,Every FRIDAY,Every Alternative FRIDAY
3515,CARSELDINE,WILLARA ST,3,63,Every FRIDAY,Every Alternative FRIDAY
3516,CARSELDINE,WILLITON CT,2,10,Every FRIDAY,Every Alternative FRIDAY
3517,CARSELDINE,WIMBLEDON CRCT,2,109,Every FRIDAY,Every Alternative FRIDAY
3518,CARSELDINE,YALDARA ST,1,34,Every FRIDAY,Every Alternative FRIDAY
3519,CARSELDINE,YALUMBA ST,3,65,Every FRIDAY,Every Alternative FRIDAY
3520,CHANDLER,ARCHER ST,253,303,Every MONDAY,Every Alternative MONDAY
3521,CHANDLER,BACTON RD,44,291,Every MONDAY,Every Alternative MONDAY
3522,CHANDLER,BOSTON RD,417,948,Every MONDAY,Every Alternative MONDAY
3523,CHANDLER,CAMROSE ST,20,145,Every MONDAY,Every Alternative MONDAY
3524,CHANDLER,CARADOC ST,14,27,Every MONDAY,Every Alternative MONDAY
3525,CHANDLER,CHADWELL ST,81,81,Every MONDAY,Every Alternative MONDAY
3526,CHANDLER,CHARLETON ST,49,270,Every MONDAY,Every Alternative MONDAY
3527,CHANDLER,CHELSEA RD,99,99,Every MONDAY,Every Alternative MONDAY
3528,CHANDLER,EASTWOOD ST,48,182,Every MONDAY,Every Alternative MONDAY
3529,CHANDLER,GELDART RD,17,199,Every MONDAY,Every Alternative MONDAY
3530,CHANDLER,GLEN CT,10,30,Every MONDAY,Every Alternative MONDAY
3531,CHANDLER,LAUREN PL,7,32,Every MONDAY,Every Alternative MONDAY
3532,CHANDLER,LONDON RD,485,886,Every MONDAY,Every Alternative MONDAY
3533,CHANDLER,MT GRAVATT-CAPALABA RD,1767,1767,Every FRIDAY,Every Alternative FRIDAY
3534,CHANDLER,MT GRAVATT-CAPALABA RD,1574,1915,Every MONDAY,Every Alternative MONDAY
3535,CHANDLER,NEW CLEVELAND RD,1323,1440,Every MONDAY,Every Alternative MONDAY
3536,CHANDLER,OLD CLEVELAND RD,1624,3274,Every MONDAY,Every Alternative MONDAY
3537,CHANDLER,PROUT RD,440,440,Every MONDAY,Every Alternative MONDAY
3538,CHANDLER,REMINGTON ST,53,78,Every MONDAY,Every Alternative MONDAY
3539,CHANDLER,SUNNYDENE RD,100,304,Every MONDAY,Every Alternative MONDAY
3540,CHANDLER,SWINTON ST,28,28,Every MONDAY,Every Alternative MONDAY
3541,CHANDLER,TILLEY RD,552,903,Every MONDAY,Every Alternative MONDAY
3542,CHANDLER,TINCHBORNE ST,7,129,Every MONDAY,Every Alternative MONDAY
3543,CHANDLER,TOLLETT ST,50,68,Every MONDAY,Every Alternative MONDAY
3544,CHANDLER,TORBAY RD,33,279,Every MONDAY,Every Alternative MONDAY
3545,CHANDLER,TORONTO RD,42,194,Every MONDAY,Every Alternative MONDAY
3546,CHANDLER,TYBERRY ST,11,111,Every MONDAY,Every Alternative MONDAY
3547,CHANDLER,WARRIEWOOD ST,36,200,Every MONDAY,Every Alternative MONDAY
3548,CHAPEL HILL,ACCRINGTON PL,1,23,Every MONDAY,Every Alternative MONDAY
3549,CHAPEL HILL,ALANA CT,2,9,Every MONDAY,Every Alternative MONDAY
3550,CHAPEL HILL,ALDERGROVE ST,2,15,Every MONDAY,Every Alternative MONDAY
3551,CHAPEL HILL,ALENOLA ST,3,29,Every MONDAY,Every Alternative MONDAY
3552,CHAPEL HILL,AMBERELLE PL,5,27,Every MONDAY,Every Alternative MONDAY
3553,CHAPEL HILL,ANDROS ST,2,16,Every MONDAY,Every Alternative MONDAY
3554,CHAPEL HILL,ARABILIA CL,2,16,Every MONDAY,Every Alternative MONDAY
3555,CHAPEL HILL,ARDES ST,33,74,Every MONDAY,Every Alternative MONDAY
3556,CHAPEL HILL,ASHBURTON ST,1,53,Every MONDAY,Every Alternative MONDAY
3557,CHAPEL HILL,ATLAS PL,1,7,Every MONDAY,Every Alternative MONDAY
3558,CHAPEL HILL,BART PL,1,6,Every MONDAY,Every Alternative MONDAY
3559,CHAPEL HILL,BIELBY RD,279,425,Every MONDAY,Every Alternative MONDAY
3560,CHAPEL HILL,BINA ST,1,24,Every MONDAY,Every Alternative MONDAY
3561,CHAPEL HILL,BINYARA ST,1,33,Every MONDAY,Every Alternative MONDAY
3562,CHAPEL HILL,BIRAH PL,3,17,Every MONDAY,Every Alternative MONDAY
3563,CHAPEL HILL,BIRCHLEY ST,2,17,Every MONDAY,Every Alternative MONDAY
3564,CHAPEL HILL,BOBLYNNE ST,1,80,Every MONDAY,Every Alternative MONDAY
3565,CHAPEL HILL,BODMIN PL,1,5,Every MONDAY,Every Alternative MONDAY
3566,CHAPEL HILL,BREDDEN ST,17,31,Every MONDAY,Every Alternative MONDAY
3567,CHAPEL HILL,BRINDABELLA ST,2,23,Every MONDAY,Every Alternative MONDAY
3568,CHAPEL HILL,BRUSHBOX CT,3,23,Every MONDAY,Every Alternative MONDAY
3569,CHAPEL HILL,BRYMER ST,7,34,Every MONDAY,Every Alternative MONDAY
3570,CHAPEL HILL,BULLEY PL,3,8,Every MONDAY,Every Alternative MONDAY
3571,CHAPEL HILL,BURBONG ST,8,192,Every MONDAY,Every Alternative MONDAY
3572,CHAPEL HILL,BURNS PDE,1,91,Every MONDAY,Every Alternative MONDAY
3573,CHAPEL HILL,BURRUMBUCK ST,2,40,Every MONDAY,Every Alternative MONDAY
3574,CHAPEL HILL,BYNOE CL,2,6,Every MONDAY,Every Alternative MONDAY
3575,CHAPEL HILL,CABRAMURRA ST,3,15,Every MONDAY,Every Alternative MONDAY
3576,CHAPEL HILL,CAMBORNE PL,2,34,Every MONDAY,Every Alternative MONDAY
3577,CHAPEL HILL,CANDLEBARK CRES,2,56,Every MONDAY,Every Alternative MONDAY
3578,CHAPEL HILL,CARISSA PL,2,30,Every MONDAY,Every Alternative MONDAY
3579,CHAPEL HILL,CASSANDRA ST,1,77,Every MONDAY,Every Alternative MONDAY
3580,CHAPEL HILL,CHANTILLY ST,1,24,Every MONDAY,Every Alternative MONDAY
3581,CHAPEL HILL,CHAPEL HILL RD,2,324,Every MONDAY,Every Alternative MONDAY
3582,CHAPEL HILL,CHAPMAN ST,7,53,Every MONDAY,Every Alternative MONDAY
3583,CHAPEL HILL,CHATBURN ST,2,11,Every MONDAY,Every Alternative MONDAY
3584,CHAPEL HILL,CHULMLEIGH CT,2,12,Every MONDAY,Every Alternative MONDAY
3585,CHAPEL HILL,CLARINA ST,1,63,Every MONDAY,Every Alternative MONDAY
3586,CHAPEL HILL,CODFORD PL,3,14,Every MONDAY,Every Alternative MONDAY
3587,CHAPEL HILL,COLUMBIA ST,7,27,Every MONDAY,Every Alternative MONDAY
3588,CHAPEL HILL,DELLAMARA ST,1,18,Every MONDAY,Every Alternative MONDAY
3589,CHAPEL HILL,DEWRANG ST,1,15,Every MONDAY,Every Alternative MONDAY
3590,CHAPEL HILL,DIAMANTINA ST,2,60,Every MONDAY,Every Alternative MONDAY
3591,CHAPEL HILL,DILLINGEN ST,1,38,Every MONDAY,Every Alternative MONDAY
3592,CHAPEL HILL,DULHUNTY ST,1,22,Every MONDAY,Every Alternative MONDAY
3593,CHAPEL HILL,DYER ST,3,6,Every MONDAY,Every Alternative MONDAY
3594,CHAPEL HILL,EAGLIE ST,3,14,Every MONDAY,Every Alternative MONDAY
3595,CHAPEL HILL,FARNWORTH ST,2,68,Every MONDAY,Every Alternative MONDAY
3596,CHAPEL HILL,FAWKNER ST,3,72,Every MONDAY,Every Alternative MONDAY
3597,CHAPEL HILL,FIG TREE POCKET RD,6,150,Every MONDAY,Every Alternative MONDAY
3598,CHAPEL HILL,FIMBRIATA CL,3,24,Every MONDAY,Every Alternative MONDAY
3599,CHAPEL HILL,FIONA ST,1,12,Every MONDAY,Every Alternative MONDAY
3600,CHAPEL HILL,FLEMING RD,1,190,Every MONDAY,Every Alternative MONDAY
3601,CHAPEL HILL,FUELLING ST,3,26,Every MONDAY,Every Alternative MONDAY
3602,CHAPEL HILL,GEEWAN PL,2,31,Every MONDAY,Every Alternative MONDAY
3603,CHAPEL HILL,GOOLMAN ST,2,77,Every MONDAY,Every Alternative MONDAY
3604,CHAPEL HILL,GOORNA CL,5,16,Every MONDAY,Every Alternative MONDAY
3605,CHAPEL HILL,GREENFORD ST,3,144,Every MONDAY,Every Alternative MONDAY
3606,CHAPEL HILL,GREVILLEA CL,1,22,Every MONDAY,Every Alternative MONDAY
3607,CHAPEL HILL,HAKEA CRES,1,90,Every MONDAY,Every Alternative MONDAY
3608,CHAPEL HILL,HALIMAH ST,1,54,Every MONDAY,Every Alternative MONDAY
3609,CHAPEL HILL,HALMORE PL,2,16,Every MONDAY,Every Alternative MONDAY
3610,CHAPEL HILL,HAYSOM CL,7,23,Every MONDAY,Every Alternative MONDAY
3611,CHAPEL HILL,HENRY ST,6,56,Every MONDAY,Every Alternative MONDAY
3612,CHAPEL HILL,HEPWORTH ST,30,45,Every MONDAY,Every Alternative MONDAY
3613,CHAPEL HILL,HOBSON CT,2,12,Every MONDAY,Every Alternative MONDAY
3614,CHAPEL HILL,INCANA ST,4,18,Every MONDAY,Every Alternative MONDAY
3615,CHAPEL HILL,IRONBARK RD,3,153,Every MONDAY,Every Alternative MONDAY
3616,CHAPEL HILL,JAMNER ST,3,25,Every MONDAY,Every Alternative MONDAY
3617,CHAPEL HILL,JERRANG ST,160,186,Every MONDAY,Every Alternative MONDAY
3618,CHAPEL HILL,JILLIAN ST,2,19,Every MONDAY,Every Alternative MONDAY
3619,CHAPEL HILL,JOB ST,3,9,Every MONDAY,Every Alternative MONDAY
3620,CHAPEL HILL,JOCELYN CT,2,8,Every MONDAY,Every Alternative MONDAY
3621,CHAPEL HILL,JUBERRA ST,1,6,Every MONDAY,Every Alternative MONDAY
3622,CHAPEL HILL,JUNIPER CL,1,10,Every MONDAY,Every Alternative MONDAY
3623,CHAPEL HILL,KAGOOLA CL,1,12,Every MONDAY,Every Alternative MONDAY
3624,CHAPEL HILL,KARABIL ST,1,26,Every MONDAY,Every Alternative MONDAY
3625,CHAPEL HILL,KEIL PL,1,6,Every MONDAY,Every Alternative MONDAY
3626,CHAPEL HILL,KENTON ST,3,25,Every MONDAY,Every Alternative MONDAY
3627,CHAPEL HILL,KIANDRA ST,1,15,Every MONDAY,Every Alternative MONDAY
3628,CHAPEL HILL,KIM ST,1,10,Every MONDAY,Every Alternative MONDAY
3629,CHAPEL HILL,KIMBA ST,2,29,Every MONDAY,Every Alternative MONDAY
3630,CHAPEL HILL,KINGFISHER PL,1,20,Every MONDAY,Every Alternative MONDAY
3631,CHAPEL HILL,KIRKDALE RD,2,53,Every MONDAY,Every Alternative MONDAY
3632,CHAPEL HILL,KITCHING ST,1,33,Every MONDAY,Every Alternative MONDAY
3633,CHAPEL HILL,KULKI PL,4,28,Every MONDAY,Every Alternative MONDAY
3634,CHAPEL HILL,LAMBETH PL,1,16,Every MONDAY,Every Alternative MONDAY
3635,CHAPEL HILL,LAMBOURN ST,1,25,Every MONDAY,Every Alternative MONDAY
3636,CHAPEL HILL,LANT ST,1,104,Every MONDAY,Every Alternative MONDAY
3637,CHAPEL HILL,LEANDER ST,1,35,Every MONDAY,Every Alternative MONDAY
3638,CHAPEL HILL,LEX ST,4,5,Every MONDAY,Every Alternative MONDAY
3639,CHAPEL HILL,LOMANDRA PL,1,60,Every MONDAY,Every Alternative MONDAY
3640,CHAPEL HILL,LUCYANNE CT,3,8,Every MONDAY,Every Alternative MONDAY
3641,CHAPEL HILL,LUDLOW ST,3,99,Every MONDAY,Every Alternative MONDAY
3642,CHAPEL HILL,MACULATA DR,5,73,Every MONDAY,Every Alternative MONDAY
3643,CHAPEL HILL,MANUBAR PL,1,9,Every MONDAY,Every Alternative MONDAY
3644,CHAPEL HILL,MARMINDIE ST,3,81,Every MONDAY,Every Alternative MONDAY
3645,CHAPEL HILL,MARNEY ST,3,35,Every MONDAY,Every Alternative MONDAY
3646,CHAPEL HILL,MAROA CL,2,15,Every MONDAY,Every Alternative MONDAY
3647,CHAPEL HILL,MATINGARA ST,3,51,Every MONDAY,Every Alternative MONDAY
3648,CHAPEL HILL,MERRILYN ST,3,42,Every MONDAY,Every Alternative MONDAY
3649,CHAPEL HILL,MINNO ST,3,21,Every MONDAY,Every Alternative MONDAY
3650,CHAPEL HILL,MIRREH PL,1,18,Every MONDAY,Every Alternative MONDAY
3651,CHAPEL HILL,MOGGILL RD,575,820,Every MONDAY,Every Alternative MONDAY
3652,CHAPEL HILL,MOONAH ST,2,14,Every MONDAY,Every Alternative MONDAY
3653,CHAPEL HILL,MOONDARRA ST,1,25,Every MONDAY,Every Alternative MONDAY
3654,CHAPEL HILL,MOORDALE ST,3,93,Every MONDAY,Every Alternative MONDAY
3655,CHAPEL HILL,MORESHAGE CT,1,5,Every MONDAY,Every Alternative MONDAY
3656,CHAPEL HILL,MORNINGVIEW ST,3,58,Every MONDAY,Every Alternative MONDAY
3657,CHAPEL HILL,MUKURTA ST,1,83,Every MONDAY,Every Alternative MONDAY
3658,CHAPEL HILL,NANKOOR ST,4,65,Every MONDAY,Every Alternative MONDAY
3659,CHAPEL HILL,NARNOO ST,1,19,Every MONDAY,Every Alternative MONDAY
3660,CHAPEL HILL,NEPTUNE ST,4,23,Every MONDAY,Every Alternative MONDAY
3661,CHAPEL HILL,NGERINGA CRES,3,81,Every MONDAY,Every Alternative MONDAY
3662,CHAPEL HILL,NOREEN ST,10,59,Every MONDAY,Every Alternative MONDAY
3663,CHAPEL HILL,OOLYIE CL,1,9,Every MONDAY,Every Alternative MONDAY
3664,CHAPEL HILL,OOTANA ST,3,21,Every MONDAY,Every Alternative MONDAY
3665,CHAPEL HILL,PEARRA PL,3,11,Every MONDAY,Every Alternative MONDAY
3666,CHAPEL HILL,PEEBLES PL,3,32,Every MONDAY,Every Alternative MONDAY
3667,CHAPEL HILL,PEGGY PL,2,12,Every MONDAY,Every Alternative MONDAY
3668,CHAPEL HILL,PILIN PL,2,11,Every MONDAY,Every Alternative MONDAY
3669,CHAPEL HILL,PONTEFRACT ST,1,11,Every MONDAY,Every Alternative MONDAY
